Company Name,Website,Location
3D LAB Sp. z o.o.,www.3d-lab.pl,Poland
3D Systems GmbH,www.3dsystems.com,Germany
3DCeram SAS,www.3dceram.com,France
3DPro (Shanghai) Technology Co. Ltd,www.3dpro.com.cn,China
3YOURMIND GmbH,www.3yourmind.com,Germany
5N Plus,www.5nplus.com,Canada
9T Labs,www.9tlabs.com,CH
A. Ebbecke Verfahrenstechnik AG,www.ebbecke-verfahrenstechnik.de,Germany
ACAM Aachen Center for Additive,www.acam-aachen.de,Germany
Adaptive3D Technologies,www.adaptive3d.com,USA
Added Scientific Ltd.,www.addedscientific.com,UK
Addiguru LLC,www.addiguru.com,USA
Addilan Fabricacion Aditiva S.L.,www.addilan.com,Spain
Additive Assurance,www.additiveassurance.com,Australia
Additive Industries b.v.,www.additiveindustries.com,Netherlands
Additive Manufacturing Technologies,www.amtechnologies.co.uk,UK
AddUp SAS,https://www.addupsolutions.com/en/additive-technologies/,France
ADIRA - Metal Forming Solutions S.A.,www.adira.pt,Portugal
Agile Manufacturing Ltd - Pivot AM Service,www.pivotam.com,USA
AIDIMME - Metal-processing Furniture Wood and Packaging Technology Institute,https://en.aidimme.es/@capacidades-fabricacionaditiva,Spain
Airtech Europe Sarl,www.airtech3D.com,Luxemborg
Alicona Imaging GmbH,www.alicona.com,Austria
Aluminium Material Technologies,www.a20x.com,UK
AM POLYMERS GmbH,www.am-polymers.de,Germany
AM Ventures Holding GmbH,www.amv.ventures,Germany
Amable,www.ewf.be,Portugal
AMCM GmbH,www.amcm.com,Germany
AMETEK GmbH-Division Creaform,www.creaform3d.com,Germany
AM-Flow,www.am-flow.com,Netherlands
AMP+ - Automated and Clean Powder Processing - ULT AG,www.ampplus.de,Germany
AMT - The Association For Manufacturing Technology,www.amtonline.org,USA
AON Co. Ltd,www.aoninni.com,Korea
Apium Additive Technologies GmbH,www.apiumtec.com,Germany
VDMA e.V. AGAM,https://am.vdma.org,Germany
ARBURG GmbH + Co KG,www.arburg.com,Germany
Arkema France SA,www.arkema.com,France
ARMOR SAS,www.kimya.fr,France
atum3D B.V.,www.atum3d.com,Netherlands
Autodesk GmbH,www.autodesk.com,Germany
AZO GmbH & Co. KG,www.azo.de,Germany
BAHSYS GmbH,www.bahsys.de,Germany
Baker Hughes,www.bakerhughes.com,USA
BASF 3D Printing Solutions GmbH,www.basf.de,Germany
Bosch Advanced Ceramics - Robert Bosch GmbH,https://www.bosch-advanced-ceramics.com/,Germany
Brightlands Materials Center,www.brightlandsmaterialscenter.com,Netherlands
Bundesministerium für Bildung,www.bmbf.de,Germany
C. HAFNER GmbH & Co. KG,www.c-hafner.de,Germany
Carbolite Gero GmbH & Co. KG,www.carbolite-gero.de,Germany
Carbon Inc.,www.carbon3d.com,USA
Carima Co. Ltd.,www.carima.com,Korea
CEAD BV,www.ceadgroup.com,Netherlands
CHIRON Group SE,www.chiron-group.de,Germany
cirp GmbH,www.cirp.de,Germany
Coreline Soft Co. Ltd.,www.corelinesoft.com/,Korea
Covestro Deutschland AG,www.covestro.com,Germany
CraftUnique Ltd.,www.craftbot.com,Hungary
CT CoreTechnologie GmbH,www.coretechnologie.com,Germany
Cubicure GmbH,www.cubicure.com,Austria
Digital Metal AB,https://digitalmetal.tech/,Sweden
DSM Additive Manufacturing - DSM Desotech BV,www.dsm.com/additive-manufacturing/,Netherlands
DyeMansion GmbH,www.dyemansion.com,Germany
ELiSE GmbH,www.elise.de,Germany
Elkem Silicones France SAS,www.silicones.elkem.com/,France
EOS GmbH,www.eos.info,Germany
Equispheres Inc.,www.equispheres.com,Canada
Essentium Inc.,www.essentium.com,USA
